t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.094,0,0,0.15,-1.89071,-0.165823,-0.331269,-4.01994,3.1456,0.874336,-4.22787,-0.0674366,-0.00263003
0.095,0,0,0.15,-1.89195,-0.167715,-0.335051,-3.94733,3.10071,0.846627,-4.15576,-0.068926,-0.00268811
0.096,0,0,0.15,-1.89326,-0.169608,-0.338836,-3.87464,3.05555,0.81909,-4.08353,-0.0700855,-0.00273333
0.097,0,0,0.15,-1.89462,-0.171502,-0.342624,-3.80185,3.01019,0.791655,-4.01119,-0.0708441,-0.00276292
0.098,0,0,0.15,-1.896,-0.173397,-0.346415,-3.72894,2.96465,0.764293,-3.93875,-0.0711686,-0.00277557
0.099,0,0,0.15,-1.89738,-0.175294,-0.350208,-3.65592,2.91891,0.737007,-3.86621,-0.0710609,-0.00277137
0.1,0,0,0.15,-1.89875,-0.177192,-0.354004,-3.58279,2.87296,0.709829,-3.79356,-0.0705529,-0.00275156
0.101,0,0,0.15,-1.90007,-0.179091,-0.357803,-3.50958,2.82676,0.682818,-3.72081,-0.0697001,-0.00271831
0.102,0,0,0.15,-1.90135,-0.180992,-0.361604,-3.43631,2.78026,0.656047,-3.64796,-0.0685745,-0.0026744
0.103,0,0,0.15,-1.90256,-0.182894,-0.365408,-3.36302,2.73342,0.629597,-3.57502,-0.0672568,-0.00262302
0.104,0,0,0.15,-1.9037,-0.184797,-0.369214,-3.28974,2.68618,0.603554,-3.50197,-0.0658303,-0.00256738
0.105,0,0,0.15,-1.90477,-0.186702,-0.373022,-3.21649,2.6385,0.577999,-3.42883,-0.0643737,-0.00251058
0.106,0,0,0.15,-1.90576,-0.188607,-0.376833,-3.14332,2.59032,0.553003,-3.3556,-0.0629573,-0.00245533
0.107,0,0,0.15,-1.90668,-0.190513,-0.380645,-3.07025,2.54162,0.528627,-3.28228,-0.0616381,-0.00240389
